"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000001","PUBLISHED","2018","AMR","SLV","25 000 [21 000–30 000]","25000.00000","21000.00000","30000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","GNQ","62 000 [50 000–81 000]","62000.00000","50000.00000","81000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","ERI","18 000 [13 000–24 000]","18000.00000","13000.00000","24000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","EST","7400 [6600–8200]","7400.00000","6600.00000","8200.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","SWZ","210 000 [190 000–220 000]","210000.00000","190000.00000","220000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","ETH","690 000 [530 000–900 000]","690000.00000","530000.00000","900000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","FJI","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","EUR","FIN","4000 [3100–4900]","4000.00000","3100.00000","4900.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","FRA","180 000 [150 000–210 000]","180000.00000","150000.00000","210000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","GAB","53 000 [43 000–67 000]","53000.00000","43000.00000","67000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","GMB","26 000 [21 000–33 000]","26000.00000","21000.00000","33000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","GEO","9400 [8100–11 000]","9400.00000","8100.00000","11000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","DEU","87 000 [71 000–100 000]","87000.00000","71000.00000","100000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","GHA","330 000 [280 000–390 000]","330000.00000","280000.00000","390000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","GRC","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AMR","GTM","47 000 [43 000–51 000]","47000.00000","43000.00000","51000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","GIN","120 000 [100 000–140 000]","120000.00000","100000.00000","140000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","GNB","44 000 [39 000–49 000]","44000.00000","39000.00000","49000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","GUY","8200 [7200–9400]","8200.00000","7200.00000","9400.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","HTI","160 000 [140 000–180 000]","160000.00000","140000.00000","180000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","HND","23 000 [18 000–28 000]","23000.00000","18000.00000","28000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","HUN","3700 [3200–4200]","3700.00000","3200.00000","4200.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","ISL","<500 [<500–<500]","","","",""
"HIV_0000000001","PUBLISHED","2018","SEAR","IND","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","SEAR","IDN","640 000 [550 000–750 000]","640000.00000","550000.00000","750000.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","IRN","61 000 [34 000–120 000]","61000.00000","34000.00000","120000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","IRL","7200 [6200–8000]","7200.00000","6200.00000","8000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","ISR","9000 [8000–10 000]","9000.00000","8000.00000","10000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","ITA","130 000 [110 000–140 000]","130000.00000","110000.00000","140000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","JAM","40 000 [35 000–46 000]","40000.00000","35000.00000","46000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","JPN","30 000 [25 000–34 000]","30000.00000","25000.00000","34000.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","JOR","<500 [<500–<500]","","","",""
"HIV_0000000001","PUBLISHED","2018","EUR","KAZ","26 000 [24 000–27 000]","26000.00000","24000.00000","27000.00000",""
